NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ATHOS,01837Y,9246267,V2BV1,87 m,83.2 m,11.39 m,5.3 m,3.9 m,1723,841,2250 ton,https://www.vesselfinder.com/vessels/details/9246267
ARKLOW VIEW,27826X,9772539,General cargo ship,86.93 m,84.98 m,15 m,7.17 m,6.35 m,2999,1731,5170 ton,https://www.vesselfinder.com/vessels/details/9772539
DANUM 178,12360M,8357203,9WKS5,104.83 m,100.71 m,21.95 m,6.1 m,3.98 m,3851,1155,5283 ton,https://www.vesselfinder.com/vessels/details/8357203
AL DANA 1,32573H,9829150,Deck ship,102.9 m,97.3 m,24.6 m,6 m,3.8 m,7009,2102,5891 ton,https://www.vesselfinder.com/vessels/details/9829150
LADY DIANA,18579W,9467196,PBSR,94.7 m,91.84 m,13.4 m,7.8 m,5.7 m,2862,1433,4106 ton,https://www.vesselfinder.com/vessels/details/9467196
WILSON JUPITER,10016P,9411795,Cargo / Container ship,88.97 m,84.99 m,11.8 m,5.4 m,1360 mm,2281,1229,3629 ton,https://www.vesselfinder.com/vessels/details/9411795
WISE SW,15455B,9568457,General cargo ship,116.99 m,110.77 m,19.6 m,14 m,8.85 m,8435,3683,11941 ton,https://www.vesselfinder.com/vessels/details/9568457
LONGROSE,15335V,9521368,PBUB,101.15 m,96.14 m,14.4 m,8.5 m,6.15 m,3603,1910,5500 ton,https://www.vesselfinder.com/vessels/details/9521368
AMADEUS,01504M,9232498,J8B4062,79.99 m,78.8 m,10.4 m,4.8 m,3.85 m,1435,722,2033 ton,https://www.vesselfinder.com/vessels/details/9232498
RUDOLF,32369L,9535591,V2EY4,138.8 m,18.25 m,10.3 m,7.4 m,2613 mm,8059,10872 ton,145.63 m,https://www.vesselfinder.com/vessels/details/9535591
AYA,11299J,9516557,3E2440,103.7 m,97.5 m,17.2 m,6.7 m,1915 mm,4339,2361,6840 ton,https://www.vesselfinder.com/vessels/details/9516557
KURTULUS,14148F,9628013,General cargo ship,92.25 m,84.96 m,15 m,6.62 m,1007 mm,3404,1546,5300 ton,https://www.vesselfinder.com/vessels/details/9628013
XIAOYI C,32911A,9610509,MDBZ4,108.2 m,103.9 m,18.2 m,9 m,7.06 m,5629,2877,8044 ton,https://www.vesselfinder.com/vessels/details/9610509
SEVKETTIN SONAY,07593F,9334313,General cargo ship,143.41 m,134 m,21.7 m,11.1 m,9 m,9490,4640,14888 ton,https://www.vesselfinder.com/vessels/details/9334313
CEG UNIVERSE,37C791,8709767,YLOQ,64.33 m,60 m,10.5 m,4 m,3.39 m,852,490,1275 ton,https://www.vesselfinder.com/vessels/details/8709767
NORDBORG,39L938,9148180,PIBU,89.1 m,83.69 m,13.3 m,7.15 m,6.02 m,2780,1563,4170 ton,https://www.vesselfinder.com/vessels/details/9148180
PETROBULK 1,25393D,9643257,Oil tanker,139.4 m,136.93 m,16.6 m,5.02 m,1592 mm,5795,3363,7721 ton,https://www.vesselfinder.com/vessels/details/9643257
MARJATTA,10463A,9345374,5BQU4,82.5 m,79.54 m,12.6 m,6.8 m,5.43 m,2474,1464,3481 ton,https://www.vesselfinder.com/vessels/details/9345374
GOOTEBORG,20995X,9518256,PCLD,96.67 m,13.35 m,9.1 m,6.15 m,2960 mm,3739,5200 ton,99.99 m,https://www.vesselfinder.com/vessels/details/9518256
TITTERI,31725L,9685085,General cargo ship,131 m,21.4 m,41 m,8.05 m,2965 mm,9719,11815 ton,138 m,https://www.vesselfinder.com/vessels/details/9685085
KHERRATA,28382C,9646455,General cargo ship,130 m,21 m,11 m,8 m,3018 mm,9627,12344 ton,138.48 m,https://www.vesselfinder.com/vessels/details/9646455
SIDER COLOMBIA,16323U,9656541,3FLP8,138.9 m,130 m,21 m,7.5 m,2815 mm,9989,4388,12700 ton,https://www.vesselfinder.com/vessels/details/9656541
VECTIS PRIDE,25727R,9626132,Multi-purpose cargo ship,123.95 m,121.7 m,17.4 m,11.4 m,8.46 m,7227,3494,11183 ton,https://www.vesselfinder.com/vessels/details/9626132
O7 LAFITE,24811V,9534482,V2HP5,116.26 m,112.76 m,17.8 m,10.5 m,7.82 m,6693,3441,10049 ton,https://www.vesselfinder.com/vessels/details/9534482
ARKLOW RAIDER,07983E,9344540,General cargo ship,89.99 m,84.99 m,14 m,7.15 m,6.1 m,2999,1639,4960 ton,https://www.vesselfinder.com/vessels/details/9344540
MEDKON KRM,17280K,9113044,3E3369,102.83 m,97.2 m,15.85 m,8.1 m,6.4 m,3893,2533,5820 ton,https://www.vesselfinder.com/vessels/details/9113044
ARKLOW CAPE,29097E,9757096,General cargo ship,87.4 m,84.99 m,14.99 m,7.12 m,6.26 m,2999,1692,5085 ton,https://www.vesselfinder.com/vessels/details/9757096
PAFILIA,40740K,9322853,Container ship,127 m,119.54 m,20.4 m,10.35 m,7.7 m,7578,3553,8546 ton,https://www.vesselfinder.com/vessels/details/9322853
MEROVING,43327W,9453614,Cargo ship,139.99 m,135.06 m,16.5 m,6 m,4.6 m,5716,3343,7224 ton,https://www.vesselfinder.com/vessels/details/9453614
WAALBORG,35910K,9505546,PBET,106.97 m,103.29 m,18.2 m,10.5 m,8.23 m,6668,3625,9661 ton,https://www.vesselfinder.com/vessels/details/9505546
KEVSER S,37822N,9115937,General cargo ship,90.33 m,84.6 m,13.2 m,7.3 m,6.24 m,2846,1585,4746 ton,https://www.vesselfinder.com/vessels/details/9115937
