NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
DIJLAH,13018C,9424285,HNAD,129.5,20.8,10.8,8.1,2712,8706,13451,137.76,https://www.vesselfinder.com/vessels/details/9424285
BORA,33394A,9276004,Oil tanker / Chemical tanker,183.21,174,32.2,18.8,12.2,29327,11984,46700,https://www.vesselfinder.com/vessels/details/9276004
ISE PRINCESS,28150A,9411185,FAIRSEA ENTERPRISES S.A.,228.6,217.8,42,21.5,14.78,55909,29810,105361,https://www.vesselfinder.com/vessels/details/9411185
BITUMA,27869U,9753832,PDSW,108,103.5,17.2,9,6,4703,1411,4995,https://www.vesselfinder.com/vessels/details/9753832
PACIFIC TRADER,38572D,9403839,Oil tanker / Chemical tanker,144.05,134.5,23,12.4,9,12164,5637,16934,https://www.vesselfinder.com/vessels/details/9403839
GLOBAL ASPHALT,38P538,9005338,Oil tanker / Asphalt carrier,110.6,103.3,17,9.36,7.06,4098,1460,6616,https://www.vesselfinder.com/vessels/details/9005338
MAXIMUS,29279C,9387164,Oil tanker,109,17.6,8.7,6.8,1912,4535,7654,115,https://www.vesselfinder.com/vessels/details/9387164
MED TUNCER,13671M,9830599,Oil tanker / Chemical tanker,115.97,123.25,17.2,7.2,1977,5651,2599,8227,https://www.vesselfinder.com/vessels/details/9830599
EUROPE I,38894D,9905332,Oil tanker,274,268.8,50,23.2,17.15,86628,54035,163136,https://www.vesselfinder.com/vessels/details/9905332
THE JUDGE,27728R,9755725,Oil tanker / Asphalt carrier / Chemical tanker,183.06,174,32.2,17,10.5,28164,8449,37770,https://www.vesselfinder.com/vessels/details/9755725
SPAR,34462L,9185530,Oil tanker,274.26,264,48,23.1,17.05,81151,52036,159901,https://www.vesselfinder.com/vessels/details/9185530
DING HENG 39,35493G,9416070,Oil tanker / Chemical tanker,144.09,136,24.2,12.9,9.65,11722,6321,19994,https://www.vesselfinder.com/vessels/details/9416070
ACCORD,32315C,9274020,Oil tanker / Chemical tanker,112,105.29,18.7,10,7.61,5367,2694,8576,https://www.vesselfinder.com/vessels/details/9274020
ALSU,28941K,9808742,Oil tanker / Chemical tanker,90.84,82.77,13,5.39,1262,2298,1004,3338,https://www.vesselfinder.com/vessels/details/9808742
FURE VINGA,31092X,9890599,Oil tanker / Chemical tanker,149.9,146.64,22.8,12.1,9.36,12763,5838,17999,https://www.vesselfinder.com/vessels/details/9890599
SERI ANGKASA,07565A,9321665,Liquefied gas carrier,283.06,266.06,43.4,26,12.4,95729,28718,71500,https://www.vesselfinder.com/vessels/details/9321665
VERRAZANE,22207Q,9649146,Liquefied gas carrier,173.7,167.52,28,17.8,10.4,23160,6947,26298,https://www.vesselfinder.com/vessels/details/9649146
PURITY,10567N,9408358,Oil tanker,117.6,109.6,19,10,7.5,6149,2874,9250,https://www.vesselfinder.com/vessels/details/9408358
CLARITY,08587L,9390264,Oil tanker,110,105.29,18.6,10,7.9,5129,2872,9210,https://www.vesselfinder.com/vessels/details/9390264
ASPIRE I,08578B,9342932,Oil tanker,110,17.6,8.7,6.8,1910,4522,7639,117.75,https://www.vesselfinder.com/vessels/details/9342932
ALICE THERESA,14234Y,9478303,Oil tanker / Chemical tanker,101.39,94.9,19.05,10.5,7.6,5706,2406,7874,https://www.vesselfinder.com/vessels/details/9478303
SM 22,26928W,9367499,Oil tanker,103.82,95.91,15.5,8.2,6.12,3466,1736,6078,https://www.vesselfinder.com/vessels/details/9367499
STENA SUPREME,18821K,9585895,Oil tanker,274,264,48,23.22,17,81187,51148,159031,https://www.vesselfinder.com/vessels/details/9585895
METIN HUSEYNOV,38531J,9175171,Oil tanker / Chemical tanker,123.2,16.5,6.8,5.02,1797,4606,6600,129.3,https://www.vesselfinder.com/vessels/details/9175171
LEVANTO,01192X,9231602,Oil tanker,140,134.95,23,12.4,9.5,11118,5573,19117,https://www.vesselfinder.com/vessels/details/9231602
DUZGIT INTEGRITY,09624N,9380415,Oil tanker / Chemical tanker,131.85,123.7,18.9,10.2,7.97,7833,3626,10736,https://www.vesselfinder.com/vessels/details/9380415
GEA,25263M,9292591,Oil tanker / Chemical tanker,175.96,168,31,17.2,1107,25364,9930,39999,https://www.vesselfinder.com/vessels/details/9292591
MED NORDIC,21792P,9527776,Oil tanker / Chemical tanker,119.68,19.5,9.6,7.5,2113,7386,9438,128.09,https://www.vesselfinder.com/vessels/details/9527776
LESVOS,28873L,9772321,Oil tanker,274.3,269.9,48,23.2,16.58,82605,52005,156949,https://www.vesselfinder.com/vessels/details/9772321
POINTIS,26546G,9719410,Liquefied gas carrier,225.13,220,36.6,22.2,12,47791,18489,53931,https://www.vesselfinder.com/vessels/details/9719410
SEA FORCE,24858W,9322102,Oil tanker / Chemical tanker,128.6,120.4,20.4,11.5,8.7,8539,4117,13078,https://www.vesselfinder.com/vessels/details/9322102
JORGE AMADO,19546X,9596870,Liquefied gas carrier,98,92,16.8,7.7,5,4679,1404,3000,https://www.vesselfinder.com/vessels/details/9596870
KILBURN,23071E,9664938,Liquefied gas carrier,119.95,114.11,20,10,7.35,7891,2977,8586,https://www.vesselfinder.com/vessels/details/9664938
