NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
RIMINI,09712J,9421635,PHJC,87.27,83.2,11.42,5.85,4.26,1862,920,2620,https://www.vesselfinder.com/vessels/details/9421635
AMELAND,17351M,9508794,General cargo ship,122.1,115.4,16.5,10,7.2,6046,2959,7653,https://www.vesselfinder.com/vessels/details/9508794
RIX MELODY,39L616,9142631,Cargo ship,89,84.5,13.35,8.6,7,2904,1656,5390,https://www.vesselfinder.com/vessels/details/9142631
HAVBRIS,06917V,8800157,General cargo ship,73.84,70.4,11.5,5.4,4.38,1524,783,2179,https://www.vesselfinder.com/vessels/details/8800157
EASTERN PROGRESS,11948P,9516997,General cargo ship,119.05,109,19.4,14.1,7.9,8693,3971,12000,https://www.vesselfinder.com/vessels/details/9516997
ARIF AMCA,18887G,9616084,General cargo ship,131.71,123.99,18.9,7.81,2704,7758,3777,11086,https://www.vesselfinder.com/vessels/details/9616084
AQUARIUS,39L455,9143582,LYST,81.4,9.46,4.65,3.15,1511,1141,456,81.4,https://www.vesselfinder.com/vessels/details/9143582
JULIETA,07316E,9115913,General cargo ship,87.95,83.8,12.5,6.3,4.93,2050,1185,3370,https://www.vesselfinder.com/vessels/details/9115913
EILEEN C,11291A,9454826,General cargo ship,114.4,108.3,14.4,8.1,6.04,4255,2341,6050,https://www.vesselfinder.com/vessels/details/9454826
JADE,09517W,9411769,Cargo / Container ship,88.97,84.99,11.8,11.8,5.4,2281,1229,3587,https://www.vesselfinder.com/vessels/details/9411769
CM COAST,37J061,8418019,Cargo ship,78.02,75,9.95,4.2,3.18,998,553,1492,https://www.vesselfinder.com/vessels/details/8418019
LARIXBORG,17669H,9489546,PBVY,82.5,80.84,12.5,8,5.45,2409,1034,3755,https://www.vesselfinder.com/vessels/details/9489546
ALDEBARAN,02043X,9238387,General cargo ship,87.99,84.98,12.5,6,4.64,2337,1294,3155,https://www.vesselfinder.com/vessels/details/9238387
TREASURE OCEAN,37660M,9240031,General cargo ship,130.73,122.9,19.6,13.2,7.72,9235,3695,11885,https://www.vesselfinder.com/vessels/details/9240031
H&S WISDOM,04992D,9195559,PCAZ,81.9,78.65,11.3,4.45,3.42,1552,848,1842,https://www.vesselfinder.com/vessels/details/9195559
ARKLOW VALLEY,27828A,9772553,General cargo ship,86.93,84.98,15,7.17,6.35,2999,1731,5171,https://www.vesselfinder.com/vessels/details/9772553
BREADBOX VIPER,00859L,9201932,PCIC,88.95,83.75,12.4,5.65,5.65,2056,1168,2800,https://www.vesselfinder.com/vessels/details/9201932
FRI BERGEN,13517U,9361122,General cargo ship,94.79,14,7.15,6.12,1042,3442,5756,99.8,https://www.vesselfinder.com/vessels/details/9361122
MARIETJE MARSILLA,13493T,9458248,General cargo ship,126.13,121.93,15.2,9.51,7.07,5418,2696,8491,https://www.vesselfinder.com/vessels/details/9458248
MSC ADA F,42080R,9190119,Container ship,130,22.8,13318,830,3605,12993,14000,143,https://www.vesselfinder.com/vessels/details/9190119
