NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
BEI HAI QI LIN,18Y0457,9868132,"Oil Tanker, Double Hull",224.9,220.4,38,18.4,11.71,"43,551","18,198","64,926",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9868132
Vela Rain,06S0161,9331141,"Oil Tanker, Double Hull",248.99,240.7,43.8,21.3,13.6,"61,348","35,445","114,858",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9331141
ZHONG DA YOU 16,12L0139,9646467,"Oil Tanker, Double Hull",105.2,98.6,16,8.7,6.9,"4,132","1,941","6,864",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9646467
BONITA,13L0144,9692909,Oil Tanker,23.98,22.7,9.8,3.65,2.65,209,80,286,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9692909
YUAN JING HE,19S0571,9896244,"Oil Tanker, Double Hull",182.9,178.5,32.26,18.2,11,"29,861","14,094","49,915",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9896244
SC VENUS,01V0047,9252759,Chemical/Oil Tanker,89.8,83,14.6,7,5.7,"2,635","1,087","3,557",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9252759
RUI GAO GE JU,20K0362,9958420,"Chemical/Oil Tanker, Double Hull",99.9,96.4,15.8,7.6,5.41,"3,655","1,260","4,000",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9958420
MY WORRY,08A0201,9546150,"Asphalt Carrier(Integral Tank,Maximum Cargo Temperature≤180℃)/Oil Tanker, Double Hull",101.9,96,16,8,5.9,"3,726","1,251","4,881",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9546150
COSGOLD LAKE,10D0099,9585194,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"152,727","98,415","297,163",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9585194
HONG DA HAI 12,10A0257,9596961,"Oil Tanker, Double Hull",134.5,126,20,10.2,7.87,"7,524","3,693","11,879",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9596961
CAI HONG DAO 5,11S0025,9608269,"Chemical/Oil Tanker, Double Hull",110.25,103.65,15.8,7.4,6,"3,927","1,861","5,695",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608269
NEW SPRING,11V0258,9535785,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"156,726","98,937","296,394",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9535785
HENG XIN,10R0502,9526681,Chemical/Oil Tanker,142.6,135,20.8,11.2,8.2,"8,814","4,464","13,968",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9526681
SHENG HANG HUA 10,09V0271,9563639,"Chemical/Oil Tanker, Double Hull",120.11,112,18,9.4,6.6,"5,614","2,538","8,125",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9563639
CHANG HANG XING YUN,07J0158,9352250,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,588","12,469","45,717",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9352250
YOU SHEN 3,11F0267,9596466,"Chemical/Oil Tanker, Double Hull",103.09,96.5,16,8.8,7.4,"4,608","2,175","7,052",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9596466
LIAN XING HU,06E3001,9344825,"Oil Tanker, Double Hull",228.6,217,32.26,21.1,14.7,"43,153","22,236","75,504",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9344825
